iter	RMSE
0	12238386.65
1	12186836.71
2	12145902.43
3	12097408.32
4	12045139.59
5	11998389.75
6	11955606.17
7	11915729.84
8	11868901.83
9	11835703.72
10	11792455.04
11	11747994.02
12	11703113.3
13	11661395.84
14	11618637.89
15	11575714.31
16	11535691.75
17	11494633.43
18	11453248.69
19	11410053.21
20	11368590.49
21	11327351.98
22	11288492.89
23	11249744.53
24	11207270.07
25	11169188.66
26	11131030.69
27	11087664.78
28	11052906.61
29	11014134.37
30	10980469.66
31	10943702.32
32	10905863.2
33	10868346.7
34	10838124.06
35	10798784.33
36	10763487.53
37	10729413.79
38	10693592.24
39	10656325.91
40	10622383.02
41	10592051.98
42	10556005.35
43	10523353.6
44	10487179.47
45	10451819.55
46	10420154.19
47	10387861.65
48	10353802.35
49	10317097.33
50	10284270.44
51	10248737.13
52	10213673.94
53	10182934.3
54	10149310.59
55	10114193.94
56	10087177.68
57	10052633.38
58	10024492.12
59	9998328.715
60	9968239.419
61	9957399.527
62	9922383.98
63	9896385.376
64	9868268.993
65	9840141.706
66	9811058.137
67	9782377.571
68	9755100.163
69	9723995.539
70	9692634.739
71	9668476.675
72	9647231.974
73	9620378.666
74	9595303.801
75	9570242.655
76	9541189.686
77	9511376.777
78	9494676.516
79	9473991.346
80	9448874.381
81	9423526.546
82	9396247.862
83	9369515.622
84	9338438.396
85	9320662.974
86	9290750.221
87	9266242.929
88	9246197.159
89	9221326.15
90	9203695.051
91	9193953.288
92	9179290.197
93	9156299.658
94	9131859.17
95	9106327.345
96	9085423.075
97	9066307.099
98	9037759.563
99	9014185.135
100	8993953.891
101	8969485.136
102	8947376.253
103	8927074.236
104	8905387.86
105	8882576.558
106	8864355.762
107	8841951.959
108	8822171.394
109	8798442.014
110	8772179.222
111	8757853.247
112	8743105.151
113	8725567.072
114	8717481.217
115	8692489.07
116	8668608.103
117	8649686.172
118	8635621.973
119	8614593.493
120	8592576.948
121	8569246.426
122	8548130.192
123	8534670.924
124	8513736.119
125	8502754.021
126	8484701.296
127	8462757.835
128	8444595.037
129	8429871.728
130	8420461.539
131	8405800.377
132	8387024.648
133	8370210.013
134	8353691.49
135	8337624.876
136	8327152.588
137	8310631.56
138	8293338.918
139	8279739.048
140	8259444.87
141	8236726.933
142	8217680.625
143	8197093.979
144	8176862.866
145	8158936.782
146	8137712.836
147	8119804.728
148	8105775.029
149	8088101.93
150	8073448.163
151	8052979.653
152	8035561.521
153	8024592.122
154	8015012.18
155	8001038.427
156	7982705.1
157	7967880.881
158	7957373.379
159	7940417.983
160	7928447.64
161	7916381.647
162	7897303.905
163	7881057.975
164	7870480.947
165	7854685.862
166	7844963.506
167	7831673.45
168	7817765.456
169	7802562.344
170	7795980.007
171	7775794.998
172	7766624.037
173	7758540.163
174	7743894.951
175	7732992.808
176	7717472.207
177	7705717.602
178	7688638.012
179	7674817.859
180	7658954.581
181	7646012.185
182	7637381.912
183	7621785.304
184	7616216.517
185	7606078.393
186	7589320.489
187	7569950.845
188	7562402.689
189	7549969.17
190	7527607.959
191	7520295.048
192	7504954.442
193	7489742.178
194	7474733.831
195	7459262.497
196	7443345.657
197	7430204.824
198	7425038.011
199	7417840.305
200	7404843.178
201	7391588.983
202	7370543.131
203	7359606.273
204	7350083.954
205	7335842.218
206	7326403.86
207	7314069.743
208	7307146.821
209	7296570.621
210	7286680.052
211	7278952.281
212	7271708.262
213	7259690.81
214	7247959.997
215	7239211.299
216	7231762.638
217	7223760.793
218	7213794.738
219	7198803.662
220	7193136.883
221	7181841.758
222	7171200.14
223	7162079.068
224	7142243.352
225	7137921.239
226	7129133.702
227	7120812.884
228	7116439.031
229	7110787.958
230	7097321.542
231	7085879.204
232	7076721.758
233	7060402.419
234	7053792.785
235	7043490.106
236	7039305.179
237	7021838.034
238	7009821.53
239	7000672.353
240	6991450.269
241	6979762.885
242	6973286.694
243	6958457.703
244	6955138.54
245	6949012.775
246	6936439.739
247	6931665.798
248	6921851.843
249	6915089.453
250	6909055.305
251	6898512.339
252	6889781.06
253	6879551.99
254	6869700.147
255	6859087.504
256	6850766.064
257	6842682.281
258	6832858.251
259	6826704.169
260	6815552.674
261	6808871.976
262	6802700.373
263	6791730.4
264	6778655.564
265	6772886.706
266	6763396.532
267	6754934.977
268	6751225.292
269	6744877.766
270	6737122.435
271	6733419.671
272	6725220.71
273	6718400.93
274	6711819.694
275	6707011.115
276	6696210.525
277	6692880.359
278	6687798.768
279	6678608.326
280	6669517.456
281	6661589.194
282	6655153.012
283	6646805.029
284	6638511.138
285	6627526.949
286	6619476.771
287	6615202.638
288	6610014.373
289	6604716.698
290	6599760.717
291	6593146.737
292	6582348.415
293	6577359.106
294	6567210.549
295	6562612.207
296	6558173.273
297	6553854.777
298	6542087.446
299	6531804.551
300	6524191.261
301	6518019.713
302	6512216.344
303	6507016.703
304	6502940.808
305	6498980.461
306	6489862.168
307	6483093.029
308	6477463.82
309	6470044.713
310	6463628.522
311	6456362.815
312	6454242.296
313	6449144.289
314	6435835.196
315	6428291.613
316	6422695.453
317	6420613.875
318	6416178.495
319	6407433.147
320	6402768.226
321	6397968.029
322	6390822.937
323	6386010.65
324	6381593.554
325	6379039.616
326	6369749.214
327	6361900.74
328	6358284.64
329	6350367.261
330	6344864.059
331	6339952.233
332	6335188.605
333	6331079.976
334	6323218.57
335	6313766.443
336	6306852.546
337	6298440.76
338	6288376.744
339	6283846.167
340	6281380.004
341	6275947.95
342	6273882.031
343	6264007.846
344	6259676.372
345	6254793.519
346	6247976.147
347	6243231.852
348	6235760.045
349	6230658.569
350	6227211.486
351	6224062.337
352	6220543.453
353	6214879.063
354	6212164.128
355	6206236.279
356	6200820.628
357	6195569.751
358	6193442.099
359	6189519.859
360	6184104.688
361	6180238.728
362	6176831.758
363	6174633.613
364	6167826.803
365	6160569.968
366	6152944.035
367	6150129.822
368	6145568.615
369	6140276.552
370	6138032.028
371	6133218.238
372	6131254.902
373	6128862.81
374	6126921.421
375	6119657.402
376	6116072.929
377	6112784.136
378	6108920.176
379	6100597.188
380	6096230.907
381	6093878.76
382	6088579.39
383	6086041.163
384	6082046.618
385	6075696.566
386	6064779.062
387	6061281.903
388	6057569.567
389	6052046.7
390	6044817.836
391	6037461.981
392	6030549.687
393	6025037.266
394	6018839.017
395	6012724.93
396	6005555.653
397	6002708.434
398	6000636.665
399	5997713.393
400	5988523.021
401	5982076.202
402	5972572.036
403	5970360.463
404	5968723.306
405	5961212.512
406	5958252.267
407	5956567.579
408	5953588.828
409	5950235.856
410	5947986.062
411	5940840.839
412	5939258.418
413	5937531.471
414	5933660.55
415	5929272.95
416	5925795.552
417	5915513.873
418	5910771.482
419	5905626.321
420	5902598.288
421	5898856.059
422	5893965.844
423	5892127.216
424	5889761.09
425	5884889.562
426	5878878.965
427	5877442.88
428	5873547.475
429	5866131.492
430	5860159.221
431	5857200.161
432	5852621.298
433	5846313.615
434	5840432.39
435	5835369.182
436	5828932.152
437	5822157.668
438	5814901.636
439	5810509.856
440	5804072.394
441	5798552.624
442	5794289.197
443	5788048.019
444	5782044.008
445	5779277.208
446	5774402.08
447	5770120.884
448	5765729.265
449	5759261.932
450	5756266.567
451	5753932.231
452	5748103.375
453	5745796.595
454	5738688.138
455	5733854.304
456	5727012.173
457	5724467.133
458	5722184.055
459	5718666.943
460	5712125.688
461	5707641.975
462	5705386.454
463	5703882.443
464	5701370.491
465	5695560.184
466	5690255.156
467	5685535.395
468	5683065.075
469	5679020.688
470	5672757.979
471	5666390.18
472	5662878.859
473	5659620.163
474	5656618.366
475	5655009.472
476	5648751.664
477	5645556.225
478	5639907.412
479	5635419.595
480	5634359.421
481	5632407.872
482	5629284.313
483	5622363.519
484	5619907.976
485	5611211.156
486	5605768.088
487	5603060.046
488	5601139.706
489	5594515.22
490	5588475.529
491	5586617.488
492	5580976.624
493	5574090.408
494	5567268.741
495	5562071.315
496	5559957.971
497	5553475.126
498	5549332.878
499	5544258.863
