iter	Passed	Remaining
0	126	63313
1	128	31930
2	129	21433
3	130	16182
4	131	13028
5	132	10918
6	133	9414
7	134	8285
8	136	7420
9	136	6708
10	137	6111
11	138	5613
12	138	5191
13	139	4827
14	139	4513
15	140	4238
16	140	3995
17	141	3778
18	141	3584
19	142	3410
20	142	3253
21	142	3106
22	143	2977
23	144	2856
24	144	2746
25	145	2643
26	145	2548
27	146	2461
28	146	2379
29	146	2301
30	147	2230
31	148	2165
32	148	2103
33	149	2044
34	149	1988
35	150	1935
36	150	1885
37	151	1839
38	151	1794
39	152	1753
40	153	1713
41	153	1674
42	154	1639
43	154	1604
44	155	1570
45	155	1538
46	156	1506
47	156	1476
48	157	1447
49	157	1420
50	158	1394
51	159	1370
52	159	1347
53	160	1323
54	160	1300
55	161	1277
56	161	1256
57	162	1235
58	162	1217
59	163	1200
60	164	1182
61	164	1165
62	165	1148
63	165	1130
64	166	1113
65	166	1097
66	167	1082
67	167	1067
68	168	1052
69	169	1038
70	169	1025
71	170	1012
72	170	1000
73	171	987
74	172	976
75	172	964
76	173	952
77	173	940
78	174	929
79	175	918
80	175	908
81	176	898
82	176	889
83	177	879
84	178	869
85	178	860
86	179	850
87	179	841
88	180	832
89	180	823
90	181	814
91	181	805
92	182	797
93	182	789
94	183	780
95	183	772
96	184	765
97	184	757
98	185	750
99	185	742
100	186	735
101	186	729
102	187	721
103	187	715
104	188	709
105	189	703
106	189	696
107	190	690
108	190	684
109	191	678
110	191	672
111	192	666
112	192	660
113	193	654
114	193	648
115	194	643
116	194	637
117	195	632
118	195	627
119	196	622
120	196	617
121	197	611
122	198	606
123	198	601
124	198	596
125	199	592
126	199	587
127	200	583
128	201	579
129	202	575
130	202	571
131	203	567
132	204	563
133	204	559
134	205	555
135	205	551
136	206	547
137	207	543
138	207	539
139	208	535
140	208	531
141	209	527
142	209	523
143	210	519
144	210	515
145	211	511
146	211	508
147	212	504
148	212	500
149	213	497
150	213	493
151	214	490
152	215	488
153	216	485
154	216	482
155	217	478
156	217	475
157	218	472
158	218	469
159	219	466
160	219	463
161	220	460
162	221	457
163	221	453
164	222	450
165	222	447
166	223	444
167	223	441
168	224	438
169	224	435
170	224	432
171	225	430
172	226	427
173	226	424
174	226	421
175	227	419
176	228	416
177	228	413
178	229	411
179	229	408
180	230	406
181	231	403
182	231	401
183	232	398
184	232	395
185	232	393
186	233	390
187	233	388
188	234	385
189	235	384
190	236	382
191	236	379
192	237	377
193	237	375
194	238	372
195	238	370
